Kode Sub Kanca;Sub Kanca;SEGMENT;Kode Kanca;Kanca;Kanwil;Kode Kanwil
4153;UNIT JAGASATRU CIREBON;MIKRO;107;KC Cirebon Kartini;Bandung ;F
4451;UNIT INDIHIANG TASIKMALAYA;MIKRO;100;KC Tasikmalaya;Bandung ;F
4451;UNIT INDIHIANG TASIKMALAYA;MIKRO;100;KC Tasikmalaya;Bandung ;F
4451;UNIT INDIHIANG TASIKMALAYA;MIKRO;100;KC Tasikmalaya;Bandung ;F
4053;UNIT IMBANAGARA CIAMIS;MIKRO;104;KC Ciamis ;Bandung ;F
4053;UNIT IMBANAGARA CIAMIS;MIKRO;104;KC Ciamis ;Bandung ;F
4208;UNIT HAURGEULIS INDRAMAYU ;MIKRO;28;KC Indramayu;Bandung ;F
4208;UNIT HAURGEULIS INDRAMAYU ;MIKRO;28;KC Indramayu;Bandung ;F
3467;UNIT HAUR PUGUR MAJALAYA;MIKRO;132;KC Majalaya ;Bandung ;F
3467;UNIT HAUR PUGUR MAJALAYA;MIKRO;132;KC Majalaya ;Bandung ;F
3467;UNIT HAUR PUGUR MAJALAYA;MIKRO;132;KC Majalaya ;Bandung ;F
4130;UNIT HARJAMUKTI CIREBON GUNUNG;MIKRO;406;KC Cirebon Gunung Jati;Bandung ;F
4130;UNIT HARJAMUKTI CIREBON GUNUNG;MIKRO;406;KC Cirebon Gunung Jati;Bandung ;F
4130;UNIT HARJAMUKTI CIREBON GUNUNG;MIKRO;406;KC Cirebon Gunung Jati;Bandung ;F
4421;UNIT HARIANG SUMEDANG ;MIKRO;94;KC Sumedang ;Bandung ;F
4421;UNIT HARIANG SUMEDANG ;MIKRO;94;KC Sumedang ;Bandung ;F
4229;UNIT GUNUNGSARI JATIBARANG;MIKRO;165;KC Jatibarang ;Bandung ;F
4229;UNIT GUNUNGSARI JATIBARANG;MIKRO;165;KC Jatibarang ;Bandung ;F
4229;UNIT GUNUNGSARI JATIBARANG;MIKRO;165;KC Jatibarang ;Bandung ;F
896;UNIT GUNUNGSARI CIREBON ;MIKRO;107;KC Cirebon Kartini;Bandung ;F
896;UNIT GUNUNGSARI CIREBON ;MIKRO;107;KC Cirebon Kartini;Bandung ;F
896;UNIT GUNUNGSARI CIREBON ;MIKRO;107;KC Cirebon Kartini;Bandung ;F
4117;UNIT GUNUNGHALU CIMAHI;MIKRO;137;KC Cimahi ;Bandung ;F
4117;UNIT GUNUNGHALU CIMAHI;MIKRO;137;KC Cimahi ;Bandung ;F
4117;UNIT GUNUNGHALU CIMAHI;MIKRO;137;KC Cimahi ;Bandung ;F
4450;UNIT GUNUNG TANJUNG TASIKMALAY;MIKRO;100;KC Tasikmalaya;Bandung ;F
4386;UNIT GUNUNG SEMBUNG SUBANG;MIKRO;123;KC Subang ;Bandung ;F
4386;UNIT GUNUNG SEMBUNG SUBANG;MIKRO;123;KC Subang ;Bandung ;F
4449;UNIT GUNUNG PERENG TASIK;MIKRO;100;KC Tasikmalaya;Bandung ;F
3997;UNIT GUNUNG BATU CIMAHI ;MIKRO;137;KC Cimahi ;Bandung ;F
3997;UNIT GUNUNG BATU CIMAHI ;MIKRO;137;KC Cimahi ;Bandung ;F
3997;UNIT GUNUNG BATU CIMAHI ;MIKRO;137;KC Cimahi ;Bandung ;F
3997;UNIT GUNUNG BATU CIMAHI ;MIKRO;137;KC Cimahi ;Bandung ;F
8094;UNIT GEKBRONG CIANJUR ;MIKRO;105;KC Cianjur;Bandung ;F
8094;UNIT GEKBRONG CIANJUR ;MIKRO;105;KC Cianjur;Bandung ;F
4129;UNIT GEGESIK CIREBON;MIKRO;107;KC Cirebon Kartini;Bandung ;F
4129;UNIT GEGESIK CIREBON;MIKRO;107;KC Cirebon Kartini;Bandung ;F
4129;UNIT GEGESIK CIREBON;MIKRO;107;KC Cirebon Kartini;Bandung ;F
4402;UNIT GEGERBITUNG SUKABUMI ;MIKRO;92;KC Sukabumi ;Bandung ;F
